Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,MEMCPY_ASYNC,1,1054,1.958,1763720948820613.719	,1763720948820615.677	
0,trans_TransData_55,KERNEL_AIVEC,1,1055,107.229,1763720948820693.553	,1763720948820800.782	
0,AsStrided243,KERNEL_AIVEC,1,1056,16.541,1763720949280050.115	,1763720949280066.656	
0,N/A,MEMCPY_ASYNC,1,1057,2.083,1763720949280224.907	,1763720949280226.990	
0,trans_TransData_55,KERNEL_AIVEC,1,1058,96.312,1763720949280331.428	,1763720949280427.740	
0,AsStrided244,KERNEL_AIVEC,1,1059,16.333,1763720949722265.240	,1763720949722281.573	
0,N/A,MEMCPY_ASYNC,1,1060,2.062,1763720949722446.199	,1763720949722448.261	
0,trans_TransData_55,KERNEL_AIVEC,1,1061,95.395,1763720949722519.761	,1763720949722615.156	
0,AsStrided245,KERNEL_AIVEC,1,1062,16.395,1763720950172094.719	,1763720950172111.114	
0,N/A,MEMCPY_ASYNC,1,1063,2.062,1763720950172275.261	,1763720950172277.323	
0,trans_TransData_55,KERNEL_AIVEC,1,1064,113.0,1763720950172385.740	,1763720950172498.740	
0,AsStrided246,KERNEL_AIVEC,1,1065,16.812,1763720950629075.219	,1763720950629092.031	
0,N/A,MEMCPY_ASYNC,1,1066,2.312,1763720950629375.469	,1763720950629377.781	
0,trans_TransData_55,KERNEL_AIVEC,1,1067,83.395,1763720950629465.240	,1763720950629548.635	
0,AsStrided247,KERNEL_AIVEC,1,1068,16.687,1763720951117379.990	,1763720951117396.677	
0,N/A,MEMCPY_ASYNC,1,1069,2.041,1763720951117556.428	,1763720951117558.469	
0,trans_TransData_55,KERNEL_AIVEC,1,1070,97.395,1763720951117624.386	,1763720951117721.781	
0,AsStrided248,KERNEL_AIVEC,1,1071,16.333,1763720951578234.178	,1763720951578250.511	
0,N/A,MEMCPY_ASYNC,1,1072,2.083,1763720951578393.219	,1763720951578395.302	
0,trans_TransData_55,KERNEL_AIVEC,1,1073,95.0,1763720951578492.657	,1763720951578587.657	
0,AsStrided249,KERNEL_AIVEC,1,1074,16.958,1763720952040972.386	,1763720952040989.344	
0,N/A,MEMCPY_ASYNC,1,1075,2.104,1763720952041181.449	,1763720952041183.553	
0,trans_TransData_55,KERNEL_AIVEC,1,1076,115.208,1763720952041254.886	,1763720952041370.094	
0,AsStrided250,KERNEL_AIVEC,1,1077,16.395,1763720952532302.219	,1763720952532318.614	
0,N/A,MEMCPY_ASYNC,1,1078,2.083,1763720952532481.949	,1763720952532484.032	
