Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID
0,4294967295,523,1,Mul62,N/A,N/A,N/A,1764070223942779.694	,33.771,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,524,1,trans_TransData_26,N/A,N/A,N/A,1764070223942813.548	,1.917,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,525,1,Add63,N/A,N/A,N/A,1764070223942815.548	,33.688,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,526,1,Relu64,N/A,N/A,N/A,1764070223942849.319	,33.438,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,527,1,Conv2D65,N/A,N/A,N/A,1764070223942882.819	,456.0,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,528,1,Add58,N/A,N/A,N/A,1764070223943338.902	,2.083,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,529,1,Rsqrt59,N/A,N/A,N/A,1764070223943341.069	,2.062,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,530,1,Mul60,N/A,N/A,N/A,1764070223943343.215	,2.188,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,531,1,Mul60,N/A,N/A,N/A,1764070223943345.465	,2.188,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,532,1,Sub61,N/A,N/A,N/A,1764070223943347.736	,2.083,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,533,1,trans_TransData_25,N/A,N/A,N/A,1764070223943349.902	,1.875,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,534,1,Mul62,N/A,N/A,N/A,1764070223943351.861	,33.354,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,535,1,trans_TransData_26,N/A,N/A,N/A,1764070223943385.298	,1.938,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,536,1,Add63,N/A,N/A,N/A,1764070223943387.298	,33.229,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,537,1,Add67,N/A,N/A,N/A,1764070223943420.611	,68.938,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,538,1,Relu64,N/A,N/A,N/A,1764070223943489.632	,33.062,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,539,1,Conv2D68,N/A,N/A,N/A,1764070223943522.756	,378.688,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,540,1,Add69,N/A,N/A,N/A,1764070223943901.506	,3.292,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,541,1,Rsqrt70,N/A,N/A,N/A,1764070223943904.861	,2.75,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,542,1,Mul71,N/A,N/A,N/A,1764070223943907.694	,2.562,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,543,1,Mul71,N/A,N/A,N/A,1764070223943910.340	,2.125,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,544,1,Sub72,N/A,N/A,N/A,1764070223943912.527	,2.792,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,545,1,trans_TransData_27,N/A,N/A,N/A,1764070223943915.382	,2.229,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,546,1,Mul73,N/A,N/A,N/A,1764070223943917.694	,18.667,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,547,1,trans_TransData_28,N/A,N/A,N/A,1764070223943936.423	,2.417,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,548,1,Add74,N/A,N/A,N/A,1764070223943938.923	,18.667,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,549,1,Relu75,N/A,N/A,N/A,1764070223943957.673	,17.646,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
