Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,Rsqrt59,KERNEL_AIVEC,1,215,2.479,1764070205081559.527	,1764070205081562.006	
0,Mul60,KERNEL_AIVEC,1,216,2.166,1764070205081562.089	,1764070205081564.255	
0,Mul60,KERNEL_AIVEC,1,217,2.187,1764070205081564.339	,1764070205081566.526	
0,Sub61,KERNEL_AIVEC,1,218,3.062,1764070205081600.673	,1764070205081603.735	
0,trans_TransData_25,KERNEL_AIVEC,1,219,2.333,1764070205081676.298	,1764070205081678.631	
0,Mul62,KERNEL_AIVEC,1,220,33.354,1764070205081701.235	,1764070205081734.589	
0,trans_TransData_26,KERNEL_AIVEC,1,221,2.312,1764070205081759.673	,1764070205081761.985	
0,Add63,KERNEL_AIVEC,1,222,34.104,1764070205081783.444	,1764070205081817.548	
0,Conv2D66,KERNEL_AICORE,1,223,121.5,1764070205581742.069	,1764070205581863.569	
0,Add58,KERNEL_AIVEC,1,224,3.02,1764070205581964.631	,1764070205581967.651	
0,Rsqrt59,KERNEL_AIVEC,1,225,2.645,1764070205582041.631	,1764070205582044.276	
0,Mul60,KERNEL_AIVEC,1,226,2.5,1764070205582096.256	,1764070205582098.756	
0,Mul60,KERNEL_AIVEC,1,227,2.083,1764070205582132.256	,1764070205582134.339	
0,Sub61,KERNEL_AIVEC,1,228,3.041,1764070205582193.798	,1764070205582196.839	
0,trans_TransData_25,KERNEL_AIVEC,1,229,2.312,1764070205582266.214	,1764070205582268.526	
0,Mul62,KERNEL_AIVEC,1,230,33.708,1764070205582287.131	,1764070205582320.839	
0,trans_TransData_26,KERNEL_AIVEC,1,231,2.25,1764070205582341.819	,1764070205582344.069	
0,Add63,KERNEL_AIVEC,1,232,34.229,1764070205582365.694	,1764070205582399.923	
0,Add67,KERNEL_AIVEC,1,233,48.479,1764070206070072.152	,1764070206070120.631	
0,Relu64,KERNEL_AIVEC,1,234,33.958,1764070206070203.339	,1764070206070237.297	
0,Conv2D65,KERNEL_AICORE,1,235,428.02,1764070206070280.131	,1764070206070708.151	
